KONPLAN SAMMENLIG;Finanskonto;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;Navn;Søgenavn;Kontotype;Global dimension 1-kode;Global dimension 2-kode;Kontokategori;Resultatopgørelse/balance;Debet/kredit;Nr. 2;Spærret;Direkte bogføring;Afstembar;Sideskift;Antal tomme linjer;Indrykning;Valutakode;Bogføring af kildevaluta;Værdiregulering af kildevaluta;Urealiseret værdiregulering;Dato/klokkeslæt for seneste ændring;Rettet den;Sammentælling;Konsol. oversættelsesmetode;Kons.debetkonto;Kons.kreditkonto;Bogføringstype;Virksomhedsbogføringsgruppe;Produktbogføringsgruppe;Billede;Automatisk udv. tekster;Skatteområdekode;Skattepligtig;Skattegruppekode;Momsvirksomhedsbogf.gruppe;Momsproduktbogf.gruppe;Valutakursregulering;IC-stand.partners finanskt.nr.;Udelad standardbeskrivelse i kladde;Løbenr. for kontounderkategori;Udeluk fra konsolidering;Omkostningstypenr.;Standardskabelonkode for periodisering;Automatisk redovisningsmall;Standardbæredygtighedskonti;API-kontotype;Gennemse politik
1000;BALANSRÄKNING;BALANSRÄKNING;Overskrift;;;;Balance;Begge;;false;false;false;false;0;0;;;false;false;2026-01-19T15:19:44.357Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;;false;;;;;Overskrift;Ingen
1002;TILLGÅNGAR;TILLGÅNGAR;Starttotal;;;;Balance;Begge;;false;false;false;false;1;0;;;false;false;2026-01-19T15:19:44.373Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;;false;;;;;Starttotal;Ingen
1003;Anläggningstillgångar;ANLÄGGNINGSTILLGÅNGAR;Starttotal;;;Aktiver;Balance;Begge;;false;false;false;false;1;1;;;false;false;2026-01-19T15:19:44.387Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;8;false;;;;;Starttotal;Ingen
1005;Materiella anl.tillgångar;MATERIELLA ANL.TILLGÅNGAR;Starttotal;;;Aktiver;Balance;Begge;;false;false;false;false;0;2;;;false;false;2026-01-19T15:19:44.397Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;8;false;;;;;Starttotal;Ingen
1100;Byggnader och mark, Från-summa;BYGGNADER OCH MARK, FRÅN-SUMMA;Starttotal;;;Aktiver;Balance;Begge;;false;false;false;false;0;3;;;false;false;2026-01-19T15:19:44.407Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;8;false;;;;;Starttotal;Ingen
1110;Byggnader och mark;BYGGNADER OCH MARK;Bogføring;;;Aktiver;Balance;Begge;;false;true;false;false;0;4;;;false;false;2026-01-19T15:19:44.417Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;8;false;;;;;Bogføring;Ingen
1115;Ökningar under året – byggnader;ÖKNINGAR UNDER ÅRET – BYGGNADER;Bogføring;;;Aktiver;Balance;Begge;;false;true;false;false;0;4;;;false;false;2026-01-19T15:19:44.43Z;2026-01-19;;Gennemsnitskurs (manuel);;;Køb;INRIKES;DIV;;false;;false;;INRIKES;VAT25;Ingen regulering;;false;8;false;;;;;Bogføring;Ingen
1116;Minskningar under året – byggnader;MINSKNINGAR UNDER ÅRET – BYGGNADER;Bogføring;;;Aktiver;Balance;Begge;;false;true;false;false;0;4;;;false;false;2026-01-19T15:19:44.437Z;2026-01-19;;Gennemsnitskurs (manuel);;;Salg;INRIKES;DIV;;false;;false;;INRIKES;VAT25;Ingen regulering;;false;8;false;;;;;Bogføring;Ingen
1190;Byggnader och mark totalt;BYGGNADER OCH MARK TOTALT;Sluttotal;;;Aktiver;Balance;Begge;;false;false;false;false;0;3;;;false;false;2026-01-19T15:19:44.48Z;2026-01-19;1100..1190;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;8;false;;;;;Sluttotal;Ingen
1200;Maskiner och inventarier, Från-summa;MASKINER OCH INVENTARIER, FRÅN-SUMMA;Starttotal;;;Aktiver;Balance;Begge;;false;false;false;false;0;3;;;false;false;2026-01-19T15:19:44.49Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;8;false;;;;;Starttotal;Ingen
1210;Maskiner och inventarier;MASKINER OCH INVENTARIER;Bogføring;;;Aktiver;Balance;Begge;;false;true;false;false;0;4;;;false;false;2026-01-19T15:19:44.527Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;8;false;;;;;Bogføring;Ingen
1215;Ökningar under året;ÖKNINGAR UNDER ÅRET;Bogføring;;;Aktiver;Balance;Begge;;false;true;false;false;0;4;;;false;false;2026-01-19T15:19:44.537Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;;false;;;;;Bogføring;Ingen
1216;Minskningar under året;MINSKNINGAR UNDER ÅRET;Bogføring;;;Aktiver;Balance;Begge;;false;true;false;false;0;4;;;false;false;2026-01-19T15:19:44.55Z;2026-01-19;;Gennemsnitskurs (manuel);;;Salg;INRIKES;DIV;;false;;false;;INRIKES;VAT25;Ingen regulering;;false;8;false;;;;;Bogføring;Ingen
1219;Ackumulerade avskrivningar;ACKUMULERADE AVSKRIVNINGAR;Bogføring;;;Aktiver;Balance;Begge;;false;true;false;false;0;4;;;false;false;2026-01-19T15:19:44.557Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;9;false;;;;;Bogføring;Ingen
1220;Verktyg och installationer;VERKTYG OCH INSTALLATIONER;Bogføring;;;Aktiver;Balance;Begge;;false;true;false;false;0;4;;;false;false;2026-01-19T15:19:44.57Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;8;false;;;;;Bogføring;Ingen
1225;Maskiner och inventarier total;MASKINER OCH INVENTARIER TOTAL;Sluttotal;;;Aktiver;Balance;Begge;;false;false;false;false;0;3;;;false;false;2026-01-19T15:19:44.597Z;2026-01-19;1200..1225;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;8;false;;;;;Sluttotal;Ingen
1235;Fordon, Från-Summa;FORDON, FRÅN-SUMMA;Starttotal;;;Aktiver;Balance;Begge;;false;false;false;false;0;3;;;false;false;2026-01-19T15:19:44.607Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;8;false;;;;;Starttotal;Ingen
